PFP client version: 1.6.1
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
  Supercell size: 5 × 4 × 1
  Number of atoms (perfect): 240
  Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
Estimating energy range ...
  NOTE: Energy range is estimated from imported structures!
  Energy range (min, max): -1083.319505, -1068.137526
Performing Wang-Landau MCMC sampling ...
  Number of energy states: 60
  Energy spacing (eV): 0.257322
  Histogram flatness threshold: 0.8
  Initial modification factor: 2.718282
  Modification factor threshold: 1.00e-06
  Number of F-iterations: 0 + 19
  F-Iteration: 0 	F = 2.718282
  F-Iteration: 3 	MC-Sweep: 130000 	Time(s): 256143.062350
  F-Iteration: 3 	MC-Sweep: 140000 	Time(s): 257597.005857
  F-Iteration: 3 	MC-Sweep: 150000 	Time(s): 258947.419198
  F-Iteration: 3 	MC-Sweep: 160000 	Time(s): 260380.061166
  F-Iteration: 3 	MC-Sweep: 170000 	Time(s): 261859.141637
  F-Iteration: 3 	MC-Sweep: 180000 	Time(s): 263463.694393
  F-Iteration: 3 	MC-Sweep: 190000 	Time(s): 265370.642817
  F-Iteration: 3 	MC-Sweep: 200000 	Time(s): 267045.644062
  F-Iteration: 3 	MC-Sweep: 210000 	Time(s): 268655.010951
  F-Iteration: 3 	MC-Sweep: 220000 	Time(s): 270121.845759
  F-Iteration: 3 	MC-Sweep: 230000 	Time(s): 271744.733260
  F-Iteration: 3 	MC-Sweep: 240000 	Time(s): 273216.322904
  F-Iteration: 3 	MC-Sweep: 250000 	Time(s): 274678.547665
  F-Iteration: 3 	MC-Sweep: 260000 	Time(s): 276179.850008
  F-Iteration: 3 	MC-Sweep: 270000 	Time(s): 277640.646217
  F-Iteration: 3 	MC-Sweep: 280000 	Time(s): 279113.631127
  F-Iteration: 3 	MC-Sweep: 290000 	Time(s): 280563.256857
  F-Iteration: 3 	MC-Sweep: 300000 	Time(s): 281988.406286
  F-Iteration: 3 	MC-Sweep: 310000 	Time(s): 283446.971618
  F-Iteration: 3 	MC-Sweep: 320000 	Time(s): 284930.984625
  F-Iteration: 3 	MC-Sweep: 330000 	Time(s): 286401.997156
  F-Iteration: 3 	MC-Sweep: 340000 	Time(s): 287862.108958
  F-Iteration: 3 	MC-Sweep: 350000 	Time(s): 289301.971709
  F-Iteration: 3 	MC-Sweep: 360000 	Time(s): 290726.814345
  F-Iteration: 3 	MC-Sweep: 370000 	Time(s): 292439.776827
  F-Iteration: 3 	MC-Sweep: 380000 	Time(s): 294381.062013
  F-Iteration: 3 	MC-Sweep: 390000 	Time(s): 296154.918032
  F-Iteration: 3 	MC-Sweep: 400000 	Time(s): 298040.301733
  F-Iteration: 3 	MC-Sweep: 410000 	Time(s): 299714.723668
  F-Iteration: 3 	MC-Sweep: 420000 	Time(s): 301221.507431
  F-Iteration: 3 	MC-Sweep: 430000 	Time(s): 302745.120673
  F-Iteration: 3 	MC-Sweep: 440000 	Time(s): 304208.846198
  F-Iteration: 3 	MC-Sweep: 450000 	Time(s): 305691.438669
  F-Iteration: 3 	MC-Sweep: 460000 	Time(s): 307260.209084
  F-Iteration: 3 	MC-Sweep: 470000 	Time(s): 308730.674953
  F-Iteration: 3 	MC-Sweep: 480000 	Time(s): 310195.682280
  F-Iteration: 3 	MC-Sweep: 490000 	Time(s): 312197.789248
  F-Iteration: 3 	MC-Sweep: 500000 	Time(s): 314458.981472
  F-Iteration: 3 	MC-Sweep: 510000 	Time(s): 316723.604284
