Executed on: 2023-09-26 01:12:58.547256
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1083.319505, -1068.137526
    Number of energy states: 60
    Energy spacing (eV): 0.257322
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 02370000 	Time(s): 970227.526028
    -- MCMC Step: 02380000 	Time(s): 974191.918926
    -- MCMC Step: 02390000 	Time(s): 978159.747639
    -- MCMC Step: 02400000 	Time(s): 982095.899056
    -- MCMC Step: 02410000 	Time(s): 985961.075191
    -- MCMC Step: 02420000 	Time(s): 989850.730012
    -- MCMC Step: 02430000 	Time(s): 993683.560448
    -- MCMC Step: 02440000 	Time(s): 997524.111598
    -- MCMC Step: 02450000 	Time(s): 1001377.381593
    -- MCMC Step: 02460000 	Time(s): 1005190.779724
    -- MCMC Step: 02470000 	Time(s): 1008980.282064
    -- MCMC Step: 02480000 	Time(s): 1012797.866043
    -- MCMC Step: 02490000 	Time(s): 1016554.669657
    -- MCMC Step: 02500000 	Time(s): 1020124.799195
    -- MCMC Step: 02510000 	Time(s): 1023657.326973
    -- MCMC Step: 02520000 	Time(s): 1027151.819824
    -- MCMC Step: 02530000 	Time(s): 1030667.065242
    -- MCMC Step: 02540000 	Time(s): 1034198.954612
    -- MCMC Step: 02550000 	Time(s): 1037641.438557
    -- MCMC Step: 02560000 	Time(s): 1041028.194949
    -- MCMC Step: 02570000 	Time(s): 1044428.219200
    -- MCMC Step: 02580000 	Time(s): 1047847.115258
    -- MCMC Step: 02590000 	Time(s): 1051366.071003
    -- MCMC Step: 02600000 	Time(s): 1054882.733245
    -- MCMC Step: 02610000 	Time(s): 1058417.703058
    -- MCMC Step: 02620000 	Time(s): 1061905.615199
