Executed on: 2023-09-18 02:40:43.125852
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM811 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.874400, 2.878125, 14.114900
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1058.411566, -1054.392101
    Number of energy states: 60
    Energy spacing (eV): 0.068127
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 01640000 	Time(s): 351633.389146
    -- MCMC Step: 01650000 	Time(s): 353968.251968
    -- MCMC Step: 01660000 	Time(s): 356550.855035
    -- MCMC Step: 01670000 	Time(s): 359296.139009
    -- MCMC Step: 01680000 	Time(s): 361982.392919
    -- MCMC Step: 01690000 	Time(s): 364597.455822
    -- MCMC Step: 01700000 	Time(s): 367115.703410
    -- MCMC Step: 01710000 	Time(s): 369728.080384
    -- MCMC Step: 01720000 	Time(s): 372374.718122
    -- MCMC Step: 01730000 	Time(s): 375041.449256
    -- MCMC Step: 01740000 	Time(s): 377715.492492
    -- MCMC Step: 01750000 	Time(s): 380400.217764
    -- MCMC Step: 01760000 	Time(s): 383065.322931
    -- MCMC Step: 01770000 	Time(s): 385755.384078
    -- MCMC Step: 01780000 	Time(s): 388448.322361
    -- MCMC Step: 01790000 	Time(s): 391214.142912
    -- MCMC Step: 01800000 	Time(s): 393964.010680
    -- MCMC Step: 01810000 	Time(s): 396688.168195
    -- MCMC Step: 01820000 	Time(s): 399360.281443
    -- MCMC Step: 01830000 	Time(s): 402017.575883
    -- MCMC Step: 01840000 	Time(s): 404701.874869
    -- MCMC Step: 01850000 	Time(s): 407380.917145
    -- MCMC Step: 01860000 	Time(s): 410085.805056
    -- MCMC Step: 01870000 	Time(s): 412730.263881
    -- MCMC Step: 01880000 	Time(s): 415364.793184
    -- MCMC Step: 01890000 	Time(s): 417994.331930
    -- MCMC Step: 01900000 	Time(s): 420593.671582
    -- MCMC Step: 01910000 	Time(s): 423085.169715
    -- MCMC Step: 01920000 	Time(s): 425602.396166
    -- MCMC Step: 01930000 	Time(s): 428155.767550
    -- MCMC Step: 01940000 	Time(s): 430708.822941
    -- MCMC Step: 01950000 	Time(s): 433304.186253
    -- MCMC Step: 01960000 	Time(s): 435907.759905
    -- MCMC Step: 01970000 	Time(s): 438548.210609
    -- MCMC Step: 01980000 	Time(s): 441147.387953
    -- MCMC Step: 01990000 	Time(s): 443671.165253
    -- MCMC Step: 02000000 	Time(s): 446165.927227
    -- MCMC Step: 02010000 	Time(s): 448655.542553
    -- MCMC Step: 02020000 	Time(s): 451133.841632
    -- MCMC Step: 02030000 	Time(s): 453629.460213
    -- MCMC Step: 02040000 	Time(s): 456095.597960
    -- MCMC Step: 02050000 	Time(s): 458582.781552
    -- MCMC Step: 02060000 	Time(s): 461071.471859
    -- MCMC Step: 02070000 	Time(s): 463556.891921
    -- MCMC Step: 02080000 	Time(s): 466026.856704
    -- MCMC Step: 02090000 	Time(s): 468492.150424
    -- MCMC Step: 02100000 	Time(s): 470973.097641
    -- MCMC Step: 02110000 	Time(s): 473444.697157
    -- MCMC Step: 02120000 	Time(s): 475868.943321
    -- MCMC Step: 02130000 	Time(s): 478300.689685
    -- MCMC Step: 02140000 	Time(s): 480721.778678
    -- MCMC Step: 02150000 	Time(s): 483159.074003
    -- MCMC Step: 02160000 	Time(s): 485594.699392
    -- MCMC Step: 02170000 	Time(s): 487989.249133
    -- MCMC Step: 02180000 	Time(s): 490282.723529
    -- MCMC Step: 02190000 	Time(s): 492623.213225
    -- MCMC Step: 02200000 	Time(s): 494954.821645
    -- MCMC Step: 02210000 	Time(s): 497196.422433
    -- MCMC Step: 02220000 	Time(s): 499400.281611
    -- MCMC Step: 02230000 	Time(s): 501568.755966
    -- MCMC Step: 02240000 	Time(s): 503748.689080
    -- MCMC Step: 02250000 	Time(s): 505940.507820
    -- MCMC Step: 02260000 	Time(s): 508112.517619
    -- MCMC Step: 02270000 	Time(s): 510278.319314
    -- MCMC Step: 02280000 	Time(s): 512464.797387
    -- MCMC Step: 02290000 	Time(s): 514649.048112
    -- MCMC Step: 02300000 	Time(s): 516723.831004
    -- MCMC Step: 02310000 	Time(s): 518674.408174
    -- MCMC Step: 02320000 	Time(s): 520633.043255
    -- MCMC Step: 02330000 	Time(s): 522587.619149
    -- MCMC Step: 02340000 	Time(s): 524565.380101
    -- MCMC Step: 02350000 	Time(s): 526514.375323
    -- MCMC Step: 02360000 	Time(s): 528470.937782
    -- MCMC Step: 02370000 	Time(s): 530470.815113
    -- MCMC Step: 02380000 	Time(s): 532475.250227
    -- MCMC Step: 02390000 	Time(s): 534460.719662
    -- MCMC Step: 02400000 	Time(s): 536434.175937
    -- MCMC Step: 02410000 	Time(s): 538390.646686
